STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,SECTOR,Economic sector,EMISSIONS_SOURCE,Emissions source,MEASURE,Measure,PRICE_LEVEL,Carbon price level,UNIT_MEASURE,Unit of measure,STATISTICAL_OPERATION,Statistical operation,PRICE_BASE,Price base,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,CURRENCY,Currency,BASE_PER,Base period,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.1),Net effective carbon rates,I,AUS,Australia,_T,Total,_T,All sources,SUBSID,Fossil fuel subsidy,_Z,Not applicable,EUR_TCO2E,Euros per tonne of CO2-equivalent,MEANW,Weighted mean,Q,Constant prices,A,Annual,2023,,0,,_Z,Not applicable,2023,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.1),Net effective carbon rates,I,CAN,Canada,_T,Total,_T,All sources,SUBSID,Fossil fuel subsidy,_Z,Not applicable,EUR_TCO2E,Euros per tonne of CO2-equivalent,MEANW,Weighted mean,Q,Constant prices,A,Annual,2023,,0,,_Z,Not applicable,2023,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.1),Net effective carbon rates,I,CRI,Costa Rica,_T,Total,_T,All sources,SUBSID,Fossil fuel subsidy,_Z,Not applicable,EUR_TCO2E,Euros per tonne of CO2-equivalent,MEANW,Weighted mean,Q,Constant prices,A,Annual,2023,,0,,_Z,Not applicable,2023,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.1),Net effective carbon rates,I,DNK,Denmark,_T,Total,_T,All sources,SUBSID,Fossil fuel subsidy,_Z,Not applicable,EUR_TCO2E,Euros per tonne of CO2-equivalent,MEANW,Weighted mean,Q,Constant prices,A,Annual,2023,,0,,_Z,Not applicable,2023,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.1),Net effective carbon rates,I,EST,Estonia,_T,Total,_T,All sources,SUBSID,Fossil fuel subsidy,_Z,Not applicable,EUR_TCO2E,Euros per tonne of CO2-equivalent,MEANW,Weighted mean,Q,Constant prices,A,Annual,2023,,0,,_Z,Not applicable,2023,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.1),Net effective carbon rates,I,FIN,Finland,_T,Total,_T,All sources,SUBSID,Fossil fuel subsidy,_Z,Not applicable,EUR_TCO2E,Euros per tonne of CO2-equivalent,MEANW,Weighted mean,Q,Constant prices,A,Annual,2023,,0,,_Z,Not applicable,2023,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.1),Net effective carbon rates,I,ISL,Iceland,_T,Total,_T,All sources,SUBSID,Fossil fuel subsidy,_Z,Not applicable,EUR_TCO2E,Euros per tonne of CO2-equivalent,MEANW,Weighted mean,Q,Constant prices,A,Annual,2023,,0,,_Z,Not applicable,2023,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.1),Net effective carbon rates,I,IRL,Ireland,_T,Total,_T,All sources,SUBSID,Fossil fuel subsidy,_Z,Not applicable,EUR_TCO2E,Euros per tonne of CO2-equivalent,MEANW,Weighted mean,Q,Constant prices,A,Annual,2023,,0,,_Z,Not applicable,2023,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.1),Net effective carbon rates,I,LUX,Luxembourg,_T,Total,_T,All sources,SUBSID,Fossil fuel subsidy,_Z,Not applicable,EUR_TCO2E,Euros per tonne of CO2-equivalent,MEANW,Weighted mean,Q,Constant prices,A,Annual,2023,,0,,_Z,Not applicable,2023,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.1),Net effective carbon rates,I,MEX,Mexico,_T,Total,_T,All sources,SUBSID,Fossil fuel subsidy,_Z,Not applicable,EUR_TCO2E,Euros per tonne of CO2-equivalent,MEANW,Weighted mean,Q,Constant prices,A,Annual,2023,,0,,_Z,Not applicable,2023,,A,Normal value,0,Units,2,Two
